employee_id,department,education,age,experience_years,hours_per_week,num_projects,performance_score,distance_from_office_km,remote_days_per_week,random_noise_1,random_noise_2,salary
E00000,HR,Master,27.0,4.0,41.5,4,74.1,1.76,0,-0.114,92,67161.0
E00001,Sales,Master,33.4,10.7,39.4,7,60.6,3.81,3,0.51,47,100284.0
E00002,Finance,PhD,28.8,7.1,46.8,4,65.8,3.6,3,-0.251,34,100754.0
E00003,Marketing,Bachelor,33.2,5.9,40.6,4,76.6,1.43,0,-0.534,53,81365.0
E00004,Engineering,Bachelor,37.0,6.6,40.2,4,64.8,,2,-0.654,80,83179.0
E00005,Finance,Master,34.9,7.9,42.6,5,73.4,18.37,0,0.339,45,91895.0
E00006,HR,Bachelor,29.7,9.5,52.2,1,93.9,,2,-0.358,3,89618.0
E00007,HR,Master,29.4,3.0,34.0,2,67.4,3.75,3,-0.454,7,73919.0
E00008,Engineering,Bachelor,29.3,2.8,46.6,6,87.7,0.92,0,-1.336,81,70639.0
E00009,Sales,Bachelor,44.7,11.4,30.6,3,78.4,,0,0.078,78,98818.0
E00010,Sales,,28.0,5.4,43.3,7,48.0,9.32,1,-0.181,77,68017.0
E00011,Finance,Master,27.2,1.3,51.5,3,,4.78,1,-0.322,12,61338.0
E00012,Marketing,Bachelor,40.9,8.8,44.9,1,57.5,2.59,0,0.199,17,69032.0
E00013,HR,Bachelor,37.2,8.9,43.0,3,57.2,,1,0.748,39,76943.0
E00014,Sales,Bachelor,29.6,0.9,38.6,5,68.6,2.33,1,0.702,23,66207.0
E00015,Engineering,Bachelor,35.3,7.9,42.2,5,79.2,14.38,0,0.553,38,100516.0
E00016,Sales,Bachelor,37.9,9.9,40.5,3,88.8,2.49,1,-0.241,55,94799.0
E00017,Engineering,Master,37.8,8.5,37.3,3,74.6,2.05,0,-0.567,28,110658.0
E00018,HR,Bachelor,34.1,9.5,40.3,6,63.3,21.39,3,-1.044,12,81103.0
E00019,Marketing,Master,31.0,1.4,43.2,8,38.8,22.41,3,-0.593,40,63883.0
E00020,HR,Master,31.2,8.3,37.4,4,71.1,2.46,1,0.02,72,85146.0
E00021,Sales,Bachelor,33.8,5.8,37.2,4,70.4,20.91,3,-0.786,61,72550.0
E00022,Finance,Bachelor,32.6,5.1,33.8,4,72.7,22.09,1,0.096,32,72019.0
E00023,Finance,Master,35.6,10.5,44.3,11,100.0,2.78,3,-0.965,31,97240.0
E00024,HR,Bachelor,39.8,12.9,45.3,6,88.6,16.58,0,-1.661,58,104922.0
E00025,Engineering,Bachelor,39.3,14.2,43.4,4,81.8,52.33,1,0.819,17,109604.0
E00026,Sales,PhD,36.0,12.3,47.8,4,55.6,0.5,2,-0.474,83,106115.0
E00027,Engineering,PhD,32.5,6.6,42.5,5,62.3,13.73,0,-0.837,86,95672.0
E00028,Engineering,Master,32.1,8.4,44.4,7,68.6,0.5,3,-1.094,2,98037.0
E00029,Marketing,Bachelor,38.0,10.1,43.8,5,58.4,18.29,1,0.423,97,92625.0
E00030,Marketing,Master,31.0,7.5,41.5,8,77.5,1.35,1,1.375,2,98797.0
E00031,Finance,Master,36.7,7.5,38.8,7,75.4,13.52,1,-0.403,45,83608.0
E00032,Engineering,Bachelor,33.8,10.3,55.3,5,53.7,1.93,3,-0.216,66,91591.0
E00033,Sales,Master,32.1,6.8,39.3,3,88.0,3.23,0,1.072,32,85457.0
E00034,Sales,Bachelor,29.2,4.1,38.0,2,71.5,2.95,3,-1.81,20,74890.0
E00035,Engineering,Bachelor,36.3,5.3,44.6,5,44.1,3.45,3,1.967,4,76544.0
E00036,Engineering,Bachelor,37.5,9.5,43.5,5,69.2,,3,2.444,72,91639.0
E00037,Sales,Bachelor,33.4,7.0,33.6,3,74.2,4.04,3,-2.706,3,80356.0
E00038,Engineering,Bachelor,36.9,8.4,48.7,4,84.6,5.01,3,-0.098,48,92516.0
E00039,Marketing,Master,30.4,9.7,41.4,2,64.9,0.5,2,-0.719,39,100283.0
E00040,Sales,PhD,32.4,5.5,35.3,4,82.4,5.0,1,-0.265,96,97942.0
E00041,HR,Master,43.0,10.0,49.1,1,72.8,2.32,1,-0.418,93,96631.0
E00042,Marketing,Master,35.9,8.5,45.8,3,50.3,3.22,3,0.812,81,71483.0
E00043,Engineering,PhD,29.3,2.1,34.4,8,48.8,9.9,1,-0.113,73,83454.0
E00044,HR,Bachelor,41.4,12.8,52.7,3,86.8,2.77,2,-0.911,54,107987.0
E00045,HR,Bachelor,34.7,5.0,46.0,6,87.9,3.6,0,-0.172,34,79606.0
E00046,Sales,Bachelor,21.4,0.4,41.9,5,74.8,8.3,1,0.515,16,49690.0
E00047,Engineering,Bachelor,24.8,2.8,51.5,1,92.4,3.24,1,-1.184,96,77565.0
E00048,Marketing,Master,30.5,2.9,43.0,5,85.8,9.22,1,-1.646,38,69785.0
E00049,Engineering,Bachelor,32.1,7.2,41.8,4,80.3,1.59,2,1.993,42,98687.0
E00050,Engineering,Bachelor,36.8,5.9,38.0,9,56.3,0.67,2,-0.642,14,81199.0
E00051,Engineering,Bachelor,31.7,5.7,45.5,2,96.0,2.39,1,-0.137,27,85242.0
E00052,HR,Bachelor,30.7,9.5,44.9,3,78.0,6.69,0,-0.398,63,85014.0
E00053,Marketing,PhD,31.6,8.4,42.1,3,64.2,2.03,2,0.548,42,84767.0
E00054,Marketing,Bachelor,27.0,8.3,37.3,1,60.0,,0,1.773,58,73015.0
E00055,HR,Bachelor,34.9,8.6,42.8,5,73.9,8.67,3,0.58,21,81291.0
E00056,Sales,Bachelor,35.9,9.5,41.6,4,44.9,3.45,3,-1.518,8,84748.0
E00057,Sales,Bachelor,25.7,0.0,34.0,4,80.5,39.86,0,-1.384,88,49417.0
E00058,Engineering,Master,35.8,5.5,33.2,6,55.7,3.75,1,-0.399,43,84754.0
